FID,MC,CODE11,CODE01,STATE,DISTRICT,SUBDIST,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
70,9.12855305362E+017,2855305362000000,2822005900000000,Andhra Pradesh,Anantapur,Gorantla,77.6300158269,13.9078888403,77.9095721603,14.1229401583
71,9.12855305352E+017,2855305352000000,2822004900000000,Andhra Pradesh,Anantapur,Gudibanda,76.9955067665,13.8989380466,77.2464877723,14.0498076829
72,9.12855305319E+017,2855305319000000,2822001600000000,Andhra Pradesh,Anantapur,Gummagatta,76.7651598811,14.5265202771,76.9818547848,14.7093777096
73,9.12855305309E+017,2855305309000000,2822000600000000,Andhra Pradesh,Anantapur,Guntakal,77.2972225802,14.9689046173,77.6124890324,15.223455855
74,9.12855305364E+017,2855305364000000,2822006100000000,Andhra Pradesh,Anantapur,Hindupur,77.4529620688,13.6844078202,77.6334519838,13.9390332377
75,9.12855305343E+017,2855305343000000,2822004000000000,Andhra Pradesh,Anantapur,Kadiri,78.0769033667,14.0616417398,78.2459168676,14.3155071954
76,9.12855305321E+017,2855305321000000,2822001800000000,Andhra Pradesh,Anantapur,Kalyandurg,77.047031628,14.4251873463,77.3553552886,14.6460633863
77,9.12855305334E+017,2855305334000000,2822003100000000,Andhra Pradesh,Anantapur,Kambadur,77.1082180809,14.2804100067,77.3742047349,14.5123697385
78,9.12855305335E+017,2855305335000000,2822003200000000,Andhra Pradesh,Anantapur,Kanaganapalle,77.3137959325,14.3254437833,77.660956809,14.5544636088
79,9.12855305306E+017,2855305306000000,2822000300000000,Andhra Pradesh,Anantapur,Kanekal,76.9457595556,14.7191614413,77.2061125743,14.9166238477
80,9.12855305346E+017,2855305346000000,2822004300000000,Andhra Pradesh,Anantapur,Kothacheruvu,77.6438629446,14.0947474357,77.8783088536,14.279349938
81,9.12855305323E+017,2855305323000000,2822002000000000,Andhra Pradesh,Anantapur,Kudair,77.2861391279,14.6637054342,77.5321369033,14.8654352187
82,9.12855305333E+017,2855305333000000,2822003000000000,Andhra Pradesh,Anantapur,Kundurpi,76.9307289266,14.2158083427,77.169525714,14.4305479921
83,9.12855305365E+017,2855305365000000,2822006200000000,Andhra Pradesh,Anantapur,Lepakshi,77.4999161941,13.7252232893,77.6576329896,13.8841839941
84,9.1285530535E+017,2855305350000000,2822004700000000,Andhra Pradesh,Anantapur,Madakasira,77.176964567,13.8330226457,77.4351587947,14.0360109607
85,9.12855305339E+017,2855305339000000,2822003600000000,Andhra Pradesh,Anantapur,Mudigubba,77.8838205122,14.2300209685,78.2382569525,14.5516907033
86,9.12855305359E+017,2855305359000000,2822005600000000,Andhra Pradesh,Anantapur,Nallacheruvu,78.0947830976,13.9682735876,78.2396362142,14.1060704614
87,9.12855305344E+017,2855305344000000,2822004100000000,Andhra Pradesh,Anantapur,Nallamada,77.8968329476,14.0907587386,78.1139782723,14.2760989628
88,9.12855305341E+017,2855305341000000,2822003800000000,Andhra Pradesh,Anantapur,Nambulipulikunta,78.2705067226,13.9364612018,78.4701075977,14.2112549483
89,9.12855305328E+017,2855305328000000,2822002500000000,Andhra Pradesh,Anantapur,Narpala,77.7246659158,14.5808970187,77.8998902249,14.8090836326
90,9.12855305358E+017,2855305358000000,2822005500000000,Andhra Pradesh,Anantapur,Obuladevaracheruvu,77.8860394544,13.9064602098,78.0998329448,14.1416819972
91,9.12855305315E+017,2855305315000000,2822001200000000,Andhra Pradesh,Anantapur,Pamidi,77.4050756475,14.8615979125,77.6622575423,15.0819774216
92,9.12855305355E+017,2855305355000000,2822005200000000,Andhra Pradesh,Anantapur,Parigi,77.4106068271,13.7964551575,77.5325797908,13.9667100181
93,9.12855305314E+017,2855305314000000,2822001100000000,Andhra Pradesh,Anantapur,Peddapappur,77.7656935263,14.7906660264,77.9378918389,15.041579055
94,9.12855305311E+017,2855305311000000,2822000800000000,Andhra Pradesh,Anantapur,Peddavadugur,77.6133783049,14.8894854356,77.8207075029,15.10700099
95,9.12855305356E+017,2855305356000000,2822005300000000,Andhra Pradesh,Anantapur,Penukonda,77.4843614694,14.0099676591,77.727255916,14.2250661304
96,9.12855305326E+017,2855305326000000,2822002300000000,Andhra Pradesh,Anantapur,Putlur,77.8709732313,14.6332157106,78.0799557845,14.8585968121
97,9.12855305357E+017,2855305357000000,2822005400000000,Andhra Pradesh,Anantapur,Puttaparthi,77.6894067282,14.0491434777,77.9328660358,14.2019932768
98,9.12855305348E+017,2855305348000000,2822004500000000,Andhra Pradesh,Anantapur,Ramagiri,77.3213861808,14.1988074003,77.6409458671,14.3813213876
99,9.12855305331E+017,2855305331000000,2822002800000000,Andhra Pradesh,Anantapur,Raptadu,77.4716301272,14.4441323956,77.6962294614,14.6371998236
100,9.12855305305E+017,2855305305000000,2822000200000000,Andhra Pradesh,Anantapur,Rayadurg,76.7835362625,14.6413112163,77.0541787904,14.8081175949
101,9.12855305349E+017,2855305349000000,2822004600000000,Andhra Pradesh,Anantapur,Roddam,77.3335486516,13.9617021106,77.5651008509,14.1778420845
102,9.12855305353E+017,2855305353000000,2822005000000000,Andhra Pradesh,Anantapur,Rolla,77.0196008836,13.7588336814,77.178631246,13.9377175266
103,9.12855305332E+017,2855305332000000,2822002900000000,Andhra Pradesh,Anantapur,Settur,76.8842507094,14.2915396027,77.1001143359,14.5566298798
104,9.12855305325E+017,2855305325000000,2822002200000000,Andhra Pradesh,Anantapur,Singanamala,77.5994199746,14.7384216964,77.8458884009,14.9259330906
105,9.12855305363E+017,2855305363000000,2822006000000000,Andhra Pradesh,Anantapur,Somandepalle,77.4621454543,13.9053725308,77.6809166568,14.055243428
106,9.12855305338E+017,2855305338000000,2822003500000000,Andhra Pradesh,Anantapur,Tadimarri,77.7970807282,14.475345381,77.993040166,14.6468729673
107,9.12855305313E+017,2855305313000000,2822001000000000,Andhra Pradesh,Anantapur,Tadpatri,77.9177104552,14.8168993786,78.1453719381,15.0593187236
108,9.1285530534E+017,2855305340000000,2822003700000000,Andhra Pradesh,Anantapur,Talupula,78.1165467224,14.1506896087,78.4248371403,14.3302019112
109,9.1285530536E+017,2855305360000000,2822005700000000,Andhra Pradesh,Anantapur,Tanakal,78.1079793127,13.7812425728,78.3444366891,14.0633248416
110,9.12855305317E+017,2855305317000000,2822001400000000,Andhra Pradesh,Anantapur,Uravakonda,77.1453740649,14.7375120751,77.3435147661,14.9982473156
111,9.12855305316E+017,2855305316000000,2822001300000000,Andhra Pradesh,Anantapur,Vajrakarur,77.2406871385,14.8502791633,77.4538860225,15.1230538961
112,9.12855305308E+017,2855305308000000,2822000500000000,Andhra Pradesh,Anantapur,Vidapanakal,77.0842449446,14.9163555415,77.3246220473,15.1593632658
113,9.12855305312E+017,2855305312000000,2822000900000000,Andhra Pradesh,Anantapur,Yadiki,77.7614447569,14.9203364086,78.026528786,15.1782399575
114,9.12855305327E+017,2855305327000000,2822002400000000,Andhra Pradesh,Anantapur,Yellanur,77.9329474263,14.5394113711,78.1449051118,14.7778831281
115,9.12855405391E+017,2855405391000000,2823002500000000,Andhra Pradesh,Chittoor,B.Kothakota,78.2268628657,13.5814432957,78.4665536383,13.7350118152
116,9.12855405423E+017,2855405423000000,2823005700000000,Andhra Pradesh,Chittoor,Baireddipalle,78.5201578344,12.9932964651,78.718640785,13.1899338513
117,9.12855405429E+017,2855405429000000,2823006300000000,Andhra Pradesh,Chittoor,Bangarupalem,78.8036255055,13.0816953654,79.0276521432,13.3069677495
118,9.1285540538E+017,2855405380000000,2823001400000000,Andhra Pradesh,Chittoor,Buchinaidu Kandriga,79.7352327865,13.4564577564,79.9173586688,13.8078675359
119,9.12855405384E+017,2855405384000000,2823001800000000,Andhra Pradesh,Chittoor,Chandragiri,79.1503788814,13.3993406861,79.376096162,13.6380833451
120,9.12855405385E+017,2855405385000000,2823001900000000,Andhra Pradesh,Chittoor,Chinnagottigallu,79.0582342991,13.5960541867,79.2810453317,13.76128729
121,9.12855405421E+017,2855405421000000,2823005500000000,Andhra Pradesh,Chittoor,Chittoor,79.0270294349,13.0548237165,79.2288686383,13.2683122974
122,9.12855405413E+017,2855405413000000,2823004700000000,Andhra Pradesh,Chittoor,Chowdepalle,78.6073675035,13.3518100328,78.7797871664,13.5250527154
123,9.1285540542E+017,2855405420000000,2823005400000000,Andhra Pradesh,Chittoor,Gangadhara Nellore,79.1334976508,13.1396219314,79.311291919,13.3203382832
124,9.12855405417E+017,2855405417000000,2823005100000000,Andhra Pradesh,Chittoor,Gangavaram,78.5523411815,13.1618674234,78.8774009361,13.3266735905
125,9.12855405431E+017,2855405431000000,2823006500000000,Andhra Pradesh,Chittoor,Gudipala,79.0588718512,13.0201786913,79.2350408728,13.1546112356
126,9.12855405426E+017,2855405426000000,2823006000000000,Andhra Pradesh,Chittoor,Gudupalle,78.2011224934,12.6851146443,78.3821849198,12.8677305203
127,9.1285540537E+017,2855405370000000,2823000400000000,Andhra Pradesh,Chittoor,Gurramkonda,78.5544718355,13.628943401,78.6968194634,13.91183974
128,9.12855405411E+017,2855405411000000,2823004500000000,Andhra Pradesh,Chittoor,Irala,78.9149972237,13.2759001962,79.076144628,13.4915388179
129,9.12855405382E+017,2855405382000000,2823001600000000,Andhra Pradesh,Chittoor,K.V.B.Puram,79.5941004463,13.4080080419,79.8696632544,13.7029701364
130,9.12855405371E+017,2855405371000000,2823000500000000,Andhra Pradesh,Chittoor,Kalakada,78.6341209222,13.7087611922,78.8592413341,13.8897468986
131,9.12855405387E+017,2855405387000000,2823002100000000,Andhra Pradesh,Chittoor,Kalikiri,78.7396990895,13.5770699142,78.8779501783,13.778819645
132,9.12855405372E+017,2855405372000000,2823000600000000,Andhra Pradesh,Chittoor,Kambhamvaripalle,78.7915879072,13.6997547024,79.0536489396,13.9101288003
133,9.12855405408E+017,2855405408000000,2823004200000000,Andhra Pradesh,Chittoor,Karvetinagar,79.3331109966,13.3270290553,79.5236610046,13.4459508435
134,9.12855405427E+017,2855405427000000,2823006100000000,Andhra Pradesh,Chittoor,Kuppam,78.270206242,12.6234701632,78.5660220887,12.7915550322
135,9.12855405389E+017,2855405389000000,2823002300000000,Andhra Pradesh,Chittoor,Kurabalakota,78.4263054856,13.586823239,78.5869922431,13.7394539294
136,9.12855405392E+017,2855405392000000,2823002600000000,Andhra Pradesh,Chittoor,Madanapalle,78.3731880284,13.4447113386,78.6144624522,13.6916201368
137,9.12855405367E+017,2855405367000000,2823000100000000,Andhra Pradesh,Chittoor,Mulakalacheruvu,78.2447940041,13.6756389858,78.4181205538,13.9555456989
138,9.12855405403E+017,2855405403000000,2823003700000000,Andhra Pradesh,Chittoor,Nagalapuram,79.7628069749,13.3193683194,79.8928194654,13.4878679046
139,9.12855405406E+017,2855405406000000,2823004000000000,Andhra Pradesh,Chittoor,Nagari,79.5392129403,13.2588656219,79.650604407,13.3772842213
140,9.128554054E+017,2855405400000000,2823003400000000,Andhra Pradesh,Chittoor,Narayanavanam,79.5708343938,13.3754501045,79.6786598962,13.4546124787
141,9.12855405393E+017,2855405393000000,2823002700000000,Andhra Pradesh,Chittoor,Nimmanapalle,78.5625885468,13.4585584718,78.7484186901,13.628943401
142,9.12855405404E+017,2855405404000000,2823003800000000,Andhra Pradesh,Chittoor,Nindra,79.6072362489,13.2893664104,79.7669702671,13.4427305486
143,9.12855405396E+017,2855405396000000,2823003000000000,Andhra Pradesh,Chittoor,Pakala,79.000243472,13.3995341832,79.1858825663,13.5365969605
144,9.12855405422E+017,2855405422000000,2823005600000000,Andhra Pradesh,Chittoor,Palamaner,78.6521043012,13.0573499091,78.8289669256,13.2354833242
145,9.12855405432E+017,2855405432000000,2823006600000000,Andhra Pradesh,Chittoor,Palasamudram,79.2698298548,13.1100195492,79.4582386612,13.3130521806
146,9.1285540539E+017,2855405390000000,2823002400000000,Andhra Pradesh,Chittoor,Pedda Thippasamudram,78.0679888728,13.566539907,78.3052194269,13.7884377562
147,9.12855405369E+017,2855405369000000,2823000300000000,Andhra Pradesh,Chittoor,Peddamandyam,78.394902657,13.7949194282,78.6015818322,13.9947093924
148,9.12855405416E+017,2855405416000000,2823005000000000,Andhra Pradesh,Chittoor,Peddapanjani,78.574086501,13.2149248452,78.8355237395,13.3746432363
149,9.12855405409E+017,2855405409000000,2823004300000000,Andhra Pradesh,Chittoor,Penumuru,79.1100278374,13.2617974302,79.2507698037,13.4084763892
150,9.12855405401E+017,2855405401000000,2823003500000000,Andhra Pradesh,Chittoor,Pichatur,79.7009342577,13.2958991729,79.8661089111,13.460136426
151,9.12855405386E+017,2855405386000000,2823002000000000,Andhra Pradesh,Chittoor,Pileru,78.8483820995,13.5719827642,79.0475691414,13.869686817
152,9.12855405395E+017,2855405395000000,2823002900000000,Andhra Pradesh,Chittoor,Pulicherla,78.9534957056,13.4902812297,79.1781540859,13.6316308243
153,9.12855405415E+017,2855405415000000,2823004900000000,Andhra Pradesh,Chittoor,Punganur,78.481249195,13.2668249396,78.6962632702,13.5161278774
154,9.1285540541E+017,2855405410000000,2823004400000000,Andhra Pradesh,Chittoor,Puthalapattu,79.0238246667,13.2551457896,79.1649886706,13.447981879
155,9.12855405407E+017,2855405407000000,2823004100000000,Andhra Pradesh,Chittoor,Puttur,79.4893715843,13.3277794964,79.600935687,13.4966927888
156,9.12855405398E+017,2855405398000000,2823003200000000,Andhra Pradesh,Chittoor,Ramachandrapuram,79.2424622397,13.4435099082,79.4702996272,13.5815124488
157,9.12855405428E+017,2855405428000000,2823006200000000,Andhra Pradesh,Chittoor,Ramakuppam,78.4126603826,12.7458385291,78.6377284553,12.9622964347
158,9.12855405414E+017,2855405414000000,2823004800000000,Andhra Pradesh,Chittoor,Ramasamudram,78.3659193003,13.309341112,78.5371704306,13.4627212859
159,9.12855405376E+017,2855405376000000,2823001000000000,Andhra Pradesh,Chittoor,Renigunta,79.4196158555,13.5613890475,79.5747855152,13.7887101885
160,9.12855405373E+017,2855405373000000,2823000700000000,Andhra Pradesh,Chittoor,Rompicherla,78.9793706576,13.6142434934,79.0957047991,13.7677416782
161,9.12855405425E+017,2855405425000000,2823005900000000,Andhra Pradesh,Chittoor,Santhipuram,78.3054845723,12.7802035552,78.4644599546,12.9393028304
162,9.12855405402E+017,2855405402000000,2823003600000000,Andhra Pradesh,Chittoor,Satyavedu,79.8275929843,13.3246678281,80.0500443111,13.555963409
163,9.12855405394E+017,2855405394000000,2823002800000000,Andhra Pradesh,Chittoor,Sodam,78.8003381982,13.4508976954,78.9842387829,13.6672817325
164,9.12855405412E+017,2855405412000000,2823004600000000,Andhra Pradesh,Chittoor,Somala,78.7053864237,13.3110905529,78.9804933016,13.5799639228
165,9.12855405378E+017,2855405378000000,2823001200000000,Andhra Pradesh,Chittoor,Srikalahasti,79.435902688,13.618045354,79.7158953493,13.9196360712
166,9.12855405419E+017,2855405419000000,2823005300000000,Andhra Pradesh,Chittoor,Srirangarajapuram,79.2294186967,13.2159889932,79.4198368433,13.3487925883
167,9.12855405368E+017,2855405368000000,2823000200000000,Andhra Pradesh,Chittoor,Thamballapalle,78.340584896,13.7100780733,78.5808665181,13.9483743374
168,9.12855405418E+017,2855405418000000,2823005200000000,Andhra Pradesh,Chittoor,Thavanampalle,78.827803929,13.2071946542,79.0826924132,13.3509942129
169,9.12855405379E+017,2855405379000000,2823001300000000,Andhra Pradesh,Chittoor,Thottambedu,79.6524809304,13.6670559563,79.8227453159,13.9238910801
170,9.12855405375E+017,2855405375000000,2823000900000000,Andhra Pradesh,Chittoor,Tirupati (Rural),79.3265267401,13.5431327908,79.488012709,13.6240296978
171,9.12855405383E+017,2855405383000000,2823001700000000,Andhra Pradesh,Chittoor,Tirupati (Urban),79.2586331913,13.601537467,79.4942982259,13.7634466174
172,9.12855405399E+017,2855405399000000,2823003300000000,Andhra Pradesh,Chittoor,Vadamalapeta,79.4422884408,13.4360083426,79.6942218281,13.5992154917
173,9.12855405388E+017,2855405388000000,2823002200000000,Andhra Pradesh,Chittoor,Valmikipuram,78.6140351669,13.5779970919,78.7963636327,13.723093614
174,9.12855405381E+017,2855405381000000,2823001500000000,Andhra Pradesh,Chittoor,Varadaiahpalem,79.8730856222,13.5159627082,80.0525323426,13.7087264387
175,9.12855405397E+017,2855405397000000,2823003100000000,Andhra Pradesh,Chittoor,Vedurukuppam,79.2305551658,13.3039804531,79.559643551,13.5051144343
176,9.12855405424E+017,2855405424000000,2823005800000000,Andhra Pradesh,Chittoor,Venkatagirikota,78.4291213387,12.9033179048,78.6587652061,13.0975659033
177,9.12855405405E+017,2855405405000000,2823003900000000,Andhra Pradesh,Chittoor,Vijayapuram,79.6291091394,13.2088325519,79.7979843894,13.3600938415
178,9.1285540543E+017,2855405430000000,2823006400000000,Andhra Pradesh,Chittoor,Yadamarri,78.8882363442,13.0310170851,79.0885543874,13.213147458
179,9.12855405377E+017,2855405377000000,2823001100000000,Andhra Pradesh,Chittoor,Yerpedu,79.5281607202,13.5668844337,79.6673324255,13.8231834249
